nwikiproject,start_ts,end_ts,tcount
7,1032596429,1048148429,3
7,1048148429,1063700429,4
7,1063700429,1079252429,5
7,1079252429,1094804429,6
7,1094804429,1110356429,7
7,1110356429,1125908429,8
7,1125908429,1141460429,9
7,1141460429,1157012429,10
7,1157012429,1172564429,11
7,1172564429,1188116429,12
7,1188116429,1203668429,13
7,1203668429,1219220429,14
7,1219220429,1234772429,15
7,1234772429,1250324429,16
7,1250324429,1265876429,17
7,1265876429,1281428429,18
7,1281428429,1296980429,19
7,1296980429,1312532429,20
7,1312532429,1328084429,21
7,1328084429,1343636429,22
7,1343636429,1359188429,23
7,1359188429,1374740429,24
7,1374740429,1390292429,25
7,1390292429,1405844429,26
7,1405844429,1421396429,27
7,1421396429,1433341432,28
8,1001492429,1017044429,1
8,1017044429,1032596429,2
8,1032596429,1048148429,3
8,1048148429,1063700429,4
8,1063700429,1079252429,5
8,1079252429,1094804429,6
8,1094804429,1110356429,7
8,1110356429,1125908429,8
8,1125908429,1141460429,9
8,1141460429,1157012429,10
8,1157012429,1172564429,11
8,1172564429,1188116429,12
8,1188116429,1203668429,13
8,1203668429,1219220429,14
8,1219220429,1234772429,15
8,1234772429,1250324429,16
8,1250324429,1265876429,17
8,1265876429,1281428429,18
8,1281428429,1296980429,19
8,1296980429,1312532429,20
8,1312532429,1328084429,21
8,1328084429,1343636429,22
8,1343636429,1359188429,23
8,1359188429,1374740429,24
8,1374740429,1390292429,25
8,1390292429,1405844429,26
8,1405844429,1421396429,27
8,1421396429,1433341432,28
9,1001492429,1017044429,1
9,1017044429,1032596429,2
9,1032596429,1048148429,3
9,1048148429,1063700429,4
9,1063700429,1079252429,5
9,1079252429,1094804429,6
9,1094804429,1110356429,7
9,1110356429,1125908429,8
9,1125908429,1141460429,9
9,1141460429,1157012429,10
9,1157012429,1172564429,11
9,1172564429,1188116429,12
9,1188116429,1203668429,13
9,1203668429,1219220429,14
9,1219220429,1234772429,15
9,1234772429,1250324429,16
9,1250324429,1265876429,17
9,1265876429,1281428429,18
9,1281428429,1296980429,19
9,1296980429,1312532429,20
9,1312532429,1328084429,21
9,1328084429,1343636429,22
9,1343636429,1359188429,23
9,1359188429,1374740429,24
9,1374740429,1390292429,25
9,1390292429,1405844429,26
9,1405844429,1421396429,27
9,1421396429,1433341432,28
10,1001492429,1017044429,1
10,1017044429,1032596429,2
10,1032596429,1048148429,3
10,1048148429,1063700429,4
10,1063700429,1079252429,5
10,1079252429,1094804429,6
10,1094804429,1110356429,7
10,1110356429,1125908429,8
10,1125908429,1141460429,9
10,1141460429,1157012429,10
10,1157012429,1172564429,11
10,1172564429,1188116429,12
10,1188116429,1203668429,13
10,1203668429,1219220429,14
10,1219220429,1234772429,15
10,1234772429,1250324429,16
10,1250324429,1265876429,17
10,1265876429,1281428429,18
10,1281428429,1296980429,19
10,1296980429,1312532429,20
10,1312532429,1328084429,21
10,1328084429,1343636429,22
10,1343636429,1359188429,23
10,1359188429,1374740429,24
10,1374740429,1390292429,25
10,1390292429,1405844429,26
10,1405844429,1421396429,27
10,1421396429,1433341432,28
11,1001492429,1017044429,1
11,1017044429,1032596429,2
11,1032596429,1048148429,3
11,1048148429,1063700429,4
11,1063700429,1079252429,5
11,1079252429,1094804429,6
11,1094804429,1110356429,7
11,1110356429,1125908429,8
11,1125908429,1141460429,9
11,1141460429,1157012429,10
11,1157012429,1172564429,11
11,1172564429,1188116429,12
11,1188116429,1203668429,13
11,1203668429,1219220429,14
11,1219220429,1234772429,15
11,1234772429,1250324429,16
11,1250324429,1265876429,17
11,1265876429,1281428429,18
11,1281428429,1296980429,19
11,1296980429,1312532429,20
11,1312532429,1328084429,21
11,1328084429,1343636429,22
11,1343636429,1359188429,23
11,1359188429,1374740429,24
11,1374740429,1390292429,25
11,1390292429,1405844429,26
11,1405844429,1421396429,27
11,1421396429,1433341432,28
12,1001492429,1017044429,1
12,1017044429,1032596429,2
12,1032596429,1048148429,3
12,1048148429,1063700429,4
12,1063700429,1079252429,5
12,1079252429,1094804429,6
12,1094804429,1110356429,7
12,1110356429,1125908429,8
12,1125908429,1141460429,9
12,1141460429,1157012429,10
12,1157012429,1172564429,11
12,1172564429,1188116429,12
12,1188116429,1203668429,13
12,1203668429,1219220429,14
12,1219220429,1234772429,15
12,1234772429,1250324429,16
12,1250324429,1265876429,17
12,1265876429,1281428429,18
12,1281428429,1296980429,19
12,1296980429,1312532429,20
12,1312532429,1328084429,21
12,1328084429,1343636429,22
12,1343636429,1359188429,23
12,1359188429,1374740429,24
12,1374740429,1390292429,25
12,1390292429,1405844429,26
12,1405844429,1421396429,27
12,1421396429,1433341432,28
13,1001492429,1017044429,1
13,1017044429,1032596429,2
13,1032596429,1048148429,3
13,1048148429,1063700429,4
13,1063700429,1079252429,5
13,1079252429,1094804429,6
13,1094804429,1110356429,7
13,1110356429,1125908429,8
13,1125908429,1141460429,9
13,1141460429,1157012429,10
13,1157012429,1172564429,11
13,1172564429,1188116429,12
13,1188116429,1203668429,13
13,1203668429,1219220429,14
13,1219220429,1234772429,15
13,1234772429,1250324429,16
13,1250324429,1265876429,17
13,1265876429,1281428429,18
13,1281428429,1296980429,19
13,1296980429,1312532429,20
13,1312532429,1328084429,21
13,1328084429,1343636429,22
13,1343636429,1359188429,23
13,1359188429,1374740429,24
13,1374740429,1390292429,25
13,1390292429,1405844429,26
13,1405844429,1421396429,27
13,1421396429,1433341432,28
14,1001492429,1017044429,1
14,1017044429,1032596429,2
14,1032596429,1048148429,3
14,1048148429,1063700429,4
14,1063700429,1079252429,5
14,1079252429,1094804429,6
14,1094804429,1110356429,7
14,1110356429,1125908429,8
14,1125908429,1141460429,9
14,1141460429,1157012429,10
14,1157012429,1172564429,11
14,1172564429,1188116429,12
14,1188116429,1203668429,13
14,1203668429,1219220429,14
14,1219220429,1234772429,15
14,1234772429,1250324429,16
14,1250324429,1265876429,17
14,1265876429,1281428429,18
14,1281428429,1296980429,19
14,1296980429,1312532429,20
14,1312532429,1328084429,21
14,1328084429,1343636429,22
14,1343636429,1359188429,23
14,1359188429,1374740429,24
14,1374740429,1390292429,25
14,1390292429,1405844429,26
14,1405844429,1421396429,27
14,1421396429,1433341432,28
15,1001492429,1017044429,1
15,1017044429,1032596429,2
15,1032596429,1048148429,3
15,1048148429,1063700429,4
15,1063700429,1079252429,5
15,1079252429,1094804429,6
15,1094804429,1110356429,7
